% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:39
% Dimension:          1
% Nodes:              2251
% Expressions:        4
% Description:        Line graph
% R                       Height                   Height                   Height                   Height
0.0034                    7.275559449129616E-10    4.737497409842998E-10    2.418887467335069E-10    8.18294285013486E-11
0.0034333333333333334     7.224042770220383E-10    4.72698514677388E-10     2.417398732588303E-10    8.182005167058311E-11
0.0034666666666666665     7.172663567688758E-10    4.716406766068685E-10    2.4158968395016473E-10   8.181058493402253E-11
0.0034999999999999996     7.12142133824563E-10     4.705762245292534E-10    2.414381787338617E-10    8.180102829083454E-11
0.003533333333333333      7.070337236827882E-10    4.695050857853402E-10    2.4128534189116786E-10   8.179138120588012E-11
0.0035666666666666663     7.01941692655796E-10     4.684276005005871E-10    2.411311999241638E-10    8.178164432954849E-11
0.0036                    6.968659905860528E-10    4.673437663721531E-10    2.4097575275695505E-10   8.177181766098215E-11
0.0036333333333333335     6.918087139538753E-10    4.662535236984121E-10    2.408189855335136E-10    8.176190068559425E-11
0.0036666666666666666     6.867702466120338E-10    4.651572011052973E-10    2.406609241385092E-10    8.175189403687722E-11
0.0036999999999999997     6.817505386541318E-10    4.640547962352809E-10    2.4050156849405867E-10   8.174179771395105E-11
0.0037333333333333333     6.767517240787995E-10    4.6294626354382E-10      2.40340904467316E-10     8.173161121574694E-11
0.003766666666666666      6.717739352240417E-10    4.6183192014074465E-10   2.401789576184453E-10    8.172133517005531E-11
0.0037999999999999996     6.668171226991105E-10    4.607117636208672E-10    2.400157278677045E-10    8.171096957597406E-11
0.003833333333333333      6.618834394420123E-10    4.5958575935528E-10      2.3985120148052857E-10   8.17005139359243E-11
0.0038666666666666663     6.56972814020759E-10     4.584542145605722E-10    2.396854038324829E-10    8.168996887667861E-11
0.0038999999999999994     6.520851977147651E-10    4.5731712677817883E-10   2.3951833484162453E-10   8.167933439730978E-11
0.003933333333333332      6.472227389767884E-10    4.5617447201642484E-10   2.3934998121557083E-10   8.166861000591207E-11
0.003966666666666665      6.423851862330934E-10    4.5502654704960704E-10   2.3918036802242487E-10   8.165779632359899E-11
0.003999999999999998      6.375724914395204E-10    4.538733493674825E-10    2.3900949517824994E-10   8.164689334942064E-11
0.004033333333333332      6.327868161019147E-10    4.527148667600671E-10    2.3883734984765055E-10   8.163590059621864E-11
0.0040666666666666655     6.280276904875822E-10    4.5155138674368016E-10   2.386639570850853E-10    8.162481868921144E-11
0.004099999999999999      6.232950674321262E-10    4.503829067648312E-10    2.384893168048259E-10    8.161364762742748E-11
0.004133333333333332      6.185911063064066E-10    4.4920942025007117E-10   2.3831341611125547E-10   8.160238691500106E-11
0.004166666666666666      6.139151548287249E-10    4.480312078760397E-10    2.3813628024147696E-10   8.159103718679081E-11
0.004199999999999999      6.092671668770215E-10    4.4684826704210274E-10   2.3795790910764104E-10   8.157959844180025E-11
0.004233333333333333      6.046492904544899E-10    4.456606041505104E-10    2.377782903802724E-10    8.156807019059428E-11
0.004266666666666665      6.000607015400238E-10    4.444684865331201E-10    2.3759744899542704E-10   8.155645306698155E-11
