% Model:              etm_deformation.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 14 2025, 14:53
% Dimension:          2
% Nodes:              308
% Expressions:        1
% Description:        Line
% cpl1x                   cpl1y                    Color
0.07333333333333333       0.09000000000000002      2.7581427986880775E-20
0.09                      0.09                     4.03905653876427E-20
0.08666666666666666       0.09                     3.3858189539077104E-20
0.08333333333333334       0.09000000000000001      2.875313478845575E-20
0.1                       0.09                     6.28525172486876E-20
0.09666666666666668       0.09                     5.515852535641421E-20
0.09333333333333335       0.09000000000000001      4.762034317666436E-20
0                         -0.08355522662726543     0
0                         -0.08462917666846187     0
0                         -0.08539632763553653     0
0                         -0.08731458833423092     0
0                         -0.08194376500269278     0
0                         -0.07916290961671046     0
0                         -0.08044688138441461     0
0                         -0.07804909373824948     0
0                         -0.07638205423072812     0
0                         -0.07446034373557661     0
0                         -0.07368645777414853     0
0                         -0.07305838132453628     0
0                         -0.07070228021869568     0
0                         -0.06863932632991818     0
0                         -0.06780594105166313     0
0                         -0.06685413113173727     0
0                         -0.06490960188463056     0
0                         -0.058264906307719515    2.5444601365612976E-36
0                         -0.057487545029283056    1.9491097802070757E-36
0                         -0.05937401415643602     2.5452245460524802E-36
0                         -0.061587254096175034    2.3089255537840112E-36
0                         -0.0631384892001671      1.535774940147404E-36
0                         -0.04610969253910138     2.556833692782568E-36
0                         -0.0480558393977851      3.0460927173169796E-36
0                         -0.049098933920863265    2.070905489231035E-36
0                         -0.050512946061545175    2.086540384282303E-36
0                         -0.054780412231444385    0
0                         -0.05198567708592834     7.558439846252681E-37
0                         -0.05279773292446466     7.054670529786214E-37
0                         -0.04354718604304113     0
0                         -0.04285827479982608     0
0                         -0.04421664121235171     0
0                         0.08328926405191492      1.0715058809610266E-36
0                         0.08410212103784805      4.584557059997055E-37
0                         0.08473933415644944      4.806394772378066E-37
0                         0.08705106051892401      1.4043726819568177E-36
0                         0.08115318155677206      2.3627898207122104E-36
0                         -0.03377184084189742     2.625694101869279E-36
0                         -0.032601374540718625    2.387429133094294E-36
0                         -0.03139623382319714     2.4025394941625764E-36
0                         -0.02994774045081408     1.975405854990309E-36
0                         -0.027340883156146214    1.984255312472853E-36
0                         -0.027271859476773973    2.0122370906812805E-36
0                         -0.02724553819204758     1.9992786063889717E-36
0                         -0.03837558373748002     0
0                         -0.03862212279509936     0
0                         -0.040965002469799956    0
0                         -0.03812238707074282     1.1652314477230307E-36
0                         -0.035422421017268044    1.1126283768084407E-36
0                         -0.007291714683227396    3.0204905784257393E-37
0                         -0.005387654113027971    2.64714506446724E-37
0                         -0.004542966485446626    0
0                         -0.01066736987897347     0
0                         -0.01269016076089976     0
0                         -0.013295767234527932    0
0                         -0.008038972523419006    0
0                         -0.00848675117909816     0
0                         -0.020975197144204653    0
0                         -0.023565869874044916    0
0                         -0.02412586342166888     0
0                         -0.018373609717981153    0
0                         -0.016237639632358032    0
0                         -0.019893305165531824    0
0                         -0.015791048385148367    0
0                         -0.014607797106668194    0
0                         0.07848833456606817      1.809266532829783E-36
0                         0.07922211255661321      1.811594322775651E-36
0                         0.07791352227294336      1.6792132054434128E-36
0                         0.07582348757536428      1.3396237899813804E-36
0                         0.07316114086543933      1.413142446200524E-39
0                         0.07315882930138023      0
0                         0.011690671030510026     2.124196502354166E-37
0                         0.012040551985293154     2.519992110165433E-37
0                         0.038185044215607256     0
0                         0.03952146406062733      0
0                         0.04068071012810891      0
0                         0.03707058568195454      0
0                         0.03424898806857786      0
0                         0.033635419089899296     0
0                         0.03342302351013003      0
0                         0.04313522692567736      2.483787414197555E-36
0                         0.04484544890682764      1.5852962739841905E-36
0                         0.04211806371772809      2.4782793487391195E-36
0                         -1.9393626555885658E-4   2.4248792028636418E-36
0                         0.0023489864319567056    1.9864106167169413E-36
0                         0.0025479555704604646    1.9850222686953434E-36
0                         -0.002935828101578177    2.3127465033324972E-36
0                         -0.001096990026744961    2.936054547658384E-36
0                         0.004957140569759847     0
0                         0.009593912814047506     0
0                         0.008687421134146691     0
0                         0.007275526691903677     0
0                         0.005684171237783352     0
0                         0.05412069273539136      0
0                         0.05644034137916147      0
0                         0.051615874880459565     2.0507220964657527E-36
0                         0.05109583040276204      2.0470553246252498E-36
0                         0.05008962673846595      1.8241214526147254E-36
0                         0.04670679390238594      3.44793048985867E-36
0                         0.047990655595865905     2.9443130413977783E-36
0                         0.07315690164836101      0
0                         0.0703151623661443       1.2352813658879277E-36
0                         0.06799510871159964      1.245624550264814E-36
0                         0.06747173503430169      1.2060236455426799E-36
0                         0.06682982807379531      1.2102333596373034E-36
0                         0.0646283077024591       7.921637238595506E-37
0                         0.057690524960039        3.0143870417368806E-36
0                         0.05935440199720259      3.032489877075362E-36
0                         0.06115941633124906      2.817880463790394E-36
0                         0.06251564592831127      2.051397493638574E-36
0                         0.01834575596646526      0
0                         0.018669469059131943     0
0                         0.02148168930284336      0
0                         0.022682889518712994     0
0                         0.013977922020830917     0
0                         0.015325637632298557     0
0                         0.01616183899364809      0
0                         0.017820253720247824     0
0                         0.02717884694661568      2.8771332579961858E-36
0                         0.027738790404268424     3.176022870711257E-36
0                         0.030400533300644104     3.183150012959812E-36
0                         0.02439834010457155      1.4239696388440077E-36
0                         0.026593111967148912     6.2766814019279235E-37
0.1                       -0.08462917666846187     6.90748621374157E-20
0.1                       -0.08355522662726543     7.066087596901167E-20
0.09999999999999999       -0.08194376500269278     7.302294028541417E-20
0.1                       -0.08539632763553653     6.80988817295864E-20
0.09999999999999999       -0.08731458833423092     6.563242523406273E-20
0.1                       -0.08044688138441461     7.557124687638664E-20
0.1                       -0.07916290961671046     7.773945253056038E-20
0.09999999999999999       -0.07804909373824948     7.987779366597196E-20
0.09999999999999998       -0.07638205423072812     8.305795253700145E-20
0.09999999999999998       -0.07446034373557661     8.712087474770181E-20
