% Model:              pcal_mirror_deformation_3d_2beams.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 26 2025, 09:58
% Dimension:          3
% Nodes:              619
% Expressions:        3
% Description:        Displacement field, Z component, x-coordinate, y-coordinate
% Length unit:        m
% X                       Y                        Z                        w (m)                    x (m)                    y (m)
-0.023176256720120806     -0.07132922749615196     0.08                     -5.7075949362382785E-12  -0.023176256720120806    -0.07132922749615196
-0.025066821627520566     -0.06314740687325945     0.08                     -9.638716134801048E-12   -0.025066821627520563    -0.06314740687325947
-4.194815350618171E-4     -0.01099969238273641     0.08000000000000002      -1.1981293021663375E-9   -4.194815350618171E-4    -0.010999692382736412
0                         -0.0105                  0.08                     -2.670798573636621E-9    0                        -0.0105
3.747421019504593E-4      -0.010938997873845654    0.08                     -1.2823807602925146E-9   3.747421019504593E-4     -0.010938997873845654
3.5355352663216284E-4     -0.010353553254554332    0.08                     -2.6032727728356566E-9   3.535535266321629E-4     -0.010353553254554332
0                         -0.0095                  0.08                     -2.696421721792665E-9    0                        -0.0095
-2.4149145522389323E-4    -0.008952148764827812    0.08                     -1.1961824100520242E-9   -2.4149145522389323E-4   -0.008952148764827812
3.53553254554332E-4       -0.00964644647336784     0.08                     -2.5970919918992825E-9   3.53553254554332E-4      -0.00964644647336784
5.15177416138532E-4       -0.009138610097622263    0.08                     -1.2912194605874565E-9   5.15177416138532E-4      -0.009138610097622263
8.06136192488538E-4       -0.010475729250784944    0.08                     -1.3750171379884708E-9   8.06136192488538E-4      -0.010475729250784944
5.0E-4                    -0.01                    0.08                     -2.644272029928808E-9    5.0E-4                   -0.01
-5.0E-4                   0.01                     0.08                     -2.659372877461901E-9    -5.0E-4                  0.01
-0.0010617511658850935    0.009707367310086368     0.08                     -1.1672574756396823E-9   -0.0010617511658850935   0.009707367310086368
-3.53553254554332E-4      0.00964644647336784      0.08                     -2.60629875654767E-9     -3.53553254554332E-4     0.00964644647336784
-0.07458908596708065      0.007839626105999796     0.08                     -4.064018190661307E-12   -0.07458908596708065     0.007839626105999796
-0.06780394896913287      0.00380320938479263      0.08000000000000002      -7.84711855750617E-12    -0.06780394896913287     0.00380320938479263
-0.06737725714992433      0.010914254048603737     0.08                     -7.712097204210775E-12   -0.06737725714992433     0.010914254048603737
-0.07336097335751122      0.015593346475658632     0.08000000000000002      -4.124585244430467E-12   -0.07336097335751122     0.015593346475658632
-0.01822685244583222      -0.06599835397647913     0.08                     -9.480502652515594E-12   -0.01822685244583222     -0.06599835397647913
-0.015593346475658632     -0.07336097335751122     0.08000000000000002      -5.813459587531889E-12   -0.015593346475658632    -0.07336097335751122
-0.007839626105999796     -0.07458908596708065     0.08                     -5.876773650674321E-12   -0.007839626105999796    -0.07458908596708065
-0.011548286725626281     -0.0672169356336254      0.08000000000000002      -9.724896931766603E-12   -0.011548286725626281    -0.0672169356336254
9.507377318357484E-4      -0.009565924903870981    0.07999999999999999      -1.2528116979486352E-9   9.507377318357484E-4     -0.009565924903870981
-4.2173746961946326E-4    0.008982312006840854     0.08                     -1.1873689665042667E-9   -4.2173746961946326E-4   0.008982312006840854
0                         0.0095                   0.08                     -2.6457866393787995E-9   0                        0.0095
-3.5355352663216284E-4    0.010353553254554332     0.08                     -2.578768744956239E-9    -3.5355352663216284E-4   0.010353553254554332
-9.215532786415181E-4     0.010543294085840468     0.08                     -1.2018915002333974E-9   -9.215532786415181E-4    0.010543294085840468
3.197733034125405E-4      0.009078787130920266     0.08                     -1.3179111722652191E-9   3.197733034125405E-4     0.009078787130920266
3.535535266321616E-4      0.009646446745445666     0.08                     -2.602863459312522E-9    3.535535266321616E-4     0.009646446745445666
-0.07132922749615196      0.023176256720120806     0.08                     -4.211293250366413E-12   -0.07132922749615196     0.023176256720120806
-0.06555571699477077      0.017891275728284264     0.08                     -7.95695734870897E-12    -0.06555571699477077     0.017891275728284264
-0.06364532294338138      0.024684271967112828     0.08                     -7.914115625923486E-12   -0.06364532294338138     0.024684271967112828
-0.0685158545617348       0.030505208658311148     0.08                     -4.33802167679496E-12    -0.0685158545617348      0.030505208658311148
0                         -0.075                   0.08                     -5.897509198229281E-12   0                        -0.075
-0.0041110709108783125    -0.0682158012470714      0.08                     -9.703677371323943E-12   -0.0041110709108783125   -0.0682158012470714
0.007839467289912918      -0.07458787050279471     0.07999999999999997      -5.87608133487061E-12    0.007839467289912918     -0.07458787050279471
0.0026705031002392        -0.06825320418266423     0.08000000000000002      -9.727049962732634E-12   0.0026705031002392       -0.06825320418266423
0                         0.0105                   0.08                     -2.6601220032320808E-9   0                        0.0105
-1.3962513936890616E-4    0.010921000910675965     0.08                     -1.3561154058841047E-9   -1.3962513936890616E-4   0.010921000910675965
8.273512086743075E-4      0.00943786795185058      0.08                     -1.2813167319330191E-9   8.273512086743075E-4     0.00943786795185058
5.0E-4                    0.01                     0.08                     -2.6463831210710607E-9   5.0E-4                   0.01
3.5355325455433285E-4     0.010353553526632163     0.08                     -2.5698362255759186E-9   3.5355325455433285E-4    0.010353553526632163
5.917834444389182E-4      0.010887364804616106     0.07999999999999999      -1.2210010283070513E-9   5.917834444389182E-4     0.010887364804616106
0.0010194964656326834     0.010233242960649785     0.08                     -1.2206971797401236E-9   0.0010194964656326834    0.010233242960649785
-0.0649518044021882       0.03749991673258768      0.07999999999999999      -4.489838283082664E-12   -0.0649518044021882      0.03749991673258768
-0.060414541070584485     0.03142427372270545      0.08                     -8.167295959922045E-12   -0.06041454107058448     0.03142427372270545
-0.05711672843379949      0.03721878729724344      0.08                     -8.302928200534543E-12   -0.057116728433799495    0.037218787297243434
-0.06067628449743351      0.04408387140455927      0.08000000000000002      -4.660873876560349E-12   -0.06067628449743351     0.04408387140455927
0.015593239986274841      -0.07335999609166174     0.07999999999999997      -5.812691673130255E-12   0.015593239986274841     -0.07335999609166174
0.010073091679786319      -0.06763700390240442     0.08                     -9.635027759280366E-12   0.010073091679786319     -0.06763700390240442
0.023176311611205702      -0.0713292096594843      0.07999999999999997      -5.707353961365146E-12   0.023176311611205702     -0.0713292096594843
0.016963741608739244      -0.06604483489918272     0.08000000000000002      -9.657425965438173E-12   0.016963741608739244     -0.06604483489918272
-0.0557357969065981       0.05018470437959347      0.08000000000000002      -4.850816506037689E-12   -0.0557357969065981      0.05018470437959347
-0.052553634537253965     0.04306073792035969      0.08                     -8.637895415452E-12      -0.05255363453725397     0.04306073792035969
-0.050184747272377414     0.05573575828807775      0.08                     -5.042662295162802E-12   -0.05018474727237741     0.05573575828807775
-0.047779218410381664     0.04849710186603937      0.08                     -8.78525981256924E-12    -0.047779218410381664    0.04849710186603937
0.030505261385574422      -0.06851583108803186     0.07999999999999999      -5.577131179656652E-12   0.030505261385574422     -0.06851583108803186
0.024105485346246566      -0.06371227071089258     0.08                     -9.55449329388242E-12    0.024105485346246566     -0.06371227071089258
0.037499966716002406      -0.06495177554317576     0.08                     -5.414717528050854E-12   0.037499966716002406     -0.06495177554317576
0.030178073269856137      -0.06098759878945663     0.08000000000000002      -9.439723777979055E-12   0.030178073269856137     -0.060987598789456636
-0.04408391809753979      0.06067625057185087      0.07999999999999997      -5.234954617184597E-12   -0.04408391809753979     0.060676250571850866
-0.04211915228443949      0.05300912340613177      0.07999999999999999      -9.215686586928457E-12   -0.04211915228443949     0.05300912340613178
-0.037499966716002406     0.06495177554317576      0.08                     -5.409255137011399E-12   -0.037499966716002406    0.06495177554317576
-0.03657684480872979      0.05723917465082873      0.08                     -9.299551003810763E-12   -0.036576844808729796    0.05723917465082873
0.04408391809753979       -0.06067625057185087     0.07999999999999997      -5.232510322772621E-12   0.04408391809753979      -0.060676250571850866
0.0368751543364258        -0.057335412652355616    0.08                     -9.164692424055908E-12   0.0368751543364258       -0.05733541265235562
0.050184747272377414      -0.05573575828807775     0.08                     -5.03947334352855E-12    0.05018474727237741      -0.05573575828807775
0.042149107094987086      -0.05324117656635251     0.07999999999999999      -9.111392701234838E-12   0.042149107094987086     -0.053241176566352515
