% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:27
% Dimension:          1
% Nodes:              2251
% Expressions:        3
% Description:        Line graph
% R                       Height                   Height                   Height
0.0020333333333333345     9.481754286970793E-10    9.732811180805377E-10    1.0311680706127385E-9
0.0020666666666666676     9.322109654786058E-10    9.558868696608605E-10    1.0109288976495427E-9
0.002100000000000001      9.167731844544776E-10    9.391314042681637E-10    9.914041109795893E-10
0.0021333333333333347     9.01834341738832E-10     9.229837010498402E-10    9.72618371777474E-10
0.002166666666666668      8.873504208007871E-10    9.073743615491588E-10    9.544687861758083E-10
0.002200000000000001      8.733214126431221E-10    8.923033310304507E-10    9.369548210881585E-10
0.0022333333333333346     8.597244793741447E-10    8.777440978608383E-10    9.200902370144798E-10
0.0022666666666666677     8.46523084060699E-10     8.636430699563004E-10    9.037861314285641E-10
0.0023000000000000013     8.337172194122311E-10    8.500002101750461E-10    8.88042134659237E-10
0.0023333333333333344     8.212883664367859E-10    8.367939221045849E-10    8.728650353092861E-10
0.002366666666666668      8.092056268384376E-10    8.239815809756925E-10    8.581792585345409E-10
0.002400000000000001      7.974689947112914E-10    8.115631607714159E-10    8.439845524904188E-10
0.0024333333333333347     7.860629927947359E-10    7.995206017998237E-10    8.302819774349342E-10
0.002466666666666668      7.749617644623627E-10    7.878198981374345E-10    8.170088296075551E-10
0.002500000000000001      7.641653048931736E-10    7.764610309778815E-10    8.041649386940638E-10
0.002533333333333334      7.536603989723497E-10    7.65428678917193E-10     7.917474586424436E-10
0.002566666666666667      7.43425243033269E-10     7.546952389183121E-10    7.797046259843583E-10
0.0026000000000000007     7.334598330335064E-10    7.442606968397585E-10    7.680363251593008E-10
0.0026333333333333343     7.237529753105967E-10    7.34112231301982E-10     7.567375751133117E-10
0.0026666666666666674     7.14285896444062E-10     7.24226790908599E-10     7.457658262119611E-10
0.002700000000000001      7.050585930523578E-10    7.14604364852507E-10     7.351209999857303E-10
0.002733333333333334      6.960615962592914E-10    7.052342213764144E-10    7.247968277635177E-10
0.0027666666666666673     6.87278885634686E-10     6.960971486657396E-10    7.147589220971615E-10
0.0028000000000000004     6.787104583543313E-10    6.871931383508167E-10    7.050072292799696E-10
0.002833333333333334      6.703479075244918E-10    6.78512737105404E-10     6.955344443197175E-10
0.002866666666666667      6.621776651621689E-10    6.700399884146285E-10    6.863129920605999E-10
0.0029000000000000002     6.541997288328984E-10    6.617748855782681E-10    6.773428348997193E-10
0.002933333333333334      6.464066219741294E-10    6.537090949002151E-10    6.686164381872376E-10
0.002966666666666667      6.38786671730767E-10     6.458291076522869E-10    6.601114970755362E-10
0.003                     6.313398760081891E-10    6.381349184249796E-10    6.518279848719724E-10
0.0030333333333333336     6.240596805883479E-10    6.3061927928145E-10      6.437586799909556E-10
0.0030666666666666668     6.169360163438317E-10    6.232706876834015E-10    6.358854457338634E-10
0.0031                    6.099688814474309E-10    6.160891391864413E-10    6.282082627161529E-10
0.0031333333333333335     6.031525175216685E-10    6.090683124453412E-10    6.207204539093865E-10
0.003166666666666667      5.96478072432493E-10     6.021982091240893E-10    6.134069758948303E-10
0.0032                    5.899455445380016E-10    5.954788254661048E-10    6.062678141460774E-10
0.0032333333333333337     5.835500046273658E-10    5.889047960711342E-10    5.992971548534865E-10
0.0032666666666666664     5.772835213906252E-10    5.824672482205566E-10    5.924822716690044E-10
0.0033                    5.711460933775648E-10    5.76166178756929E-10     5.858231535806747E-10
0.0033333333333333335     5.651334091485569E-10    5.699969234341304E-10    5.793146290076226E-10
0.0033666666666666667     5.592384585516865E-10    5.639517021322828E-10    5.729459844033935E-10
0.0034                    5.534612403006289E-10    5.580305121753296E-10    5.667172112577826E-10
0.0034333333333333334     5.477979774562141E-10    5.522292892951476E-10    5.606237440168996E-10
0.0034666666666666665     5.42242401984651E-10     5.465411286966267E-10    5.54656431125746E-10
0.0034999999999999996     5.36794512741432E-10     5.409660280943635E-10    5.488152658802984E-10
0.003533333333333333      5.314509981392084E-10    5.35500442797009E-10     5.430962474248343E-10
0.0035666666666666663     5.262062259500314E-10    5.301382098045659E-10    5.374914780212223E-10
0.0036                    5.210601951661574E-10    5.248793271714233E-10    5.320009523359153E-10
0.0036333333333333335     5.160099679239209E-10    5.197206629428754E-10    5.266211229411323E-10
0.0036666666666666666     5.110505430345349E-10    5.146567770147088E-10    5.213452106018769E-10
0.0036999999999999997     5.061819196014238E-10    5.096876677113682E-10    5.161732109955728E-10
0.0037333333333333333     5.014014371039894E-10    5.048105075521845E-10    5.111019224686534E-10
0.003766666666666666      4.967046454452239E-10    5.000204829116593E-10    5.061254873432934E-10
0.0037999999999999996     4.920915438055303E-10    4.953175923115998E-10    5.012439020233803E-10
0.003833333333333333      4.875597197644502E-10    4.906992809504861E-10    4.964542888356295E-10
0.0038666666666666663     4.83105191944116E-10     4.861612632822855E-10    4.917515346601851E-10
0.0038999999999999994     4.787279596033132E-10    4.817035380090825E-10    4.871356364920029E-10
0.003933333333333332      4.744258269688538E-10    4.773237866182496E-10    4.82603995098646E-10
0.003966666666666665      4.701952620569489E-10    4.730182235404773E-10    4.781521667857626E-10
0.003999999999999998      4.660362641975639E-10    4.687868476334428E-10    4.737801490212035E-10
0.004033333333333332      4.6194680905419755E-10   4.646275265607183E-10    4.694855637648316E-10
0.0040666666666666655     4.5792372122678876E-10   4.605368708450456E-10    4.652644879290017E-10
0.004099999999999999      4.539670000942953E-10    4.5651487945852766E-10   4.6111691933288373E-10
