% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               Apr 16 2026, 13:58
% Dimension:          1
% Nodes:              2251
% Expressions:        3
% Description:        Line graph
% R                       Height                   Height                   Height
0.0051999999999999946     4.2181376835301237E-10   4.2328326132739064E-10   4.25848756673736E-10
0.0052333333333333286     4.189145859967849E-10    4.203556340252406E-10    4.2286982928381733E-10
0.005266666666666661      4.1605178767200614E-10   4.1746510776408845E-10   4.199293500395483E-10
0.005299999999999994      4.1322537306519524E-10   4.146116821259505E-10    4.170273182925186E-10
0.005333333333333328      4.104345655560937E-10    4.117945581214507E-10    4.141628912590098E-10
0.00536666666666666       4.07678130355346E-10     4.0901245718513226E-10   4.113347035950355E-10
0.005399999999999993      4.0495606716783407E-10   4.062653789280817E-10    4.085427547073877E-10
0.005433333333333327      4.02267649091351E-10     4.035525762855196E-10    4.0578625831225515E-10
0.00546666666666666       3.9961174816154163E-10   4.008728828405773E-10    4.0306397235521637E-10
0.005499999999999993      3.9698836410052354E-10   3.9822629823106065E-10   4.0037589629253886E-10
0.005533333333333327      3.9439680738814755E-10   3.9561211438782157E-10   3.97721286199194E-10
0.005566666666666659      3.9183603721372116E-10   3.9302925644401176E-10   3.950990007064277E-10
0.005599999999999992      3.89306053313933E-10     3.9047772406019955E-10   3.9250903931269546E-10
0.005633333333333326      3.86806216734376E-10     3.8795686179968527E-10   3.8995071492380236E-10
0.005666666666666658      3.843355516294501E-10    3.8546566309331807E-10   3.8742296137919375E-10
0.0056999999999999915     3.818940577515393E-10    3.830041276248646E-10    3.8492577821796603E-10
0.0057333333333333255     3.794811472403452E-10    3.805716529984254E-10    3.8245853527176283E-10
0.005766666666666658      3.770959111870073E-10    3.7816730274300734E-10   3.8002024295311273E-10
0.005799999999999991      3.747383493584958E-10    3.7579107656361076E-10   3.776109008375866E-10
0.005833333333333325      3.724079080263938E-10    3.734424074041142E-10    3.7522991653092565E-10
0.005866666666666657      3.7010374537180376E-10   3.7112042895336337E-10   3.7287637680332993E-10
0.00589999999999999       3.678258611706733E-10    3.6882514093074127E-10   3.7055028125715254E-10
0.005933333333333324      3.65573741686518E-10     3.6655601771652364E-10   3.6825108181059326E-10
0.005966666666666657      3.6334659071731557E-10   3.6431224079713194E-10   3.6597791744327143E-10
0.00599999999999999       3.6114440804987394E-10   3.6209380990789453E-10   3.6373078778492147E-10
0.006033333333333324      3.589667194694449E-10    3.5990024032005345E-10   3.615091883285792E-10
0.006066666666666656      3.568127791806273E-10    3.5773076601324844E-10   3.593123147143929E-10
0.006099999999999989      3.5468258698093197E-10   3.5558538673812973E-10   3.571401665976709E-10
0.006133333333333323      3.5257570045389893E-10   3.534636505470762E-10    3.549922741763032E-10
0.006166666666666655      3.50491418873431E-10     3.513648384001726E-10    3.5286788386182955E-10
0.0061999999999999885     3.4842974204461804E-10   3.49288950059547E-10     3.5076699532965823E-10
0.0062333333333333225     3.4639026503192563E-10   3.472355722533345E-10    3.4868917976917533E-10
0.006266666666666655      3.443723184003608E-10    3.452040186456761E-10    3.4663371910938404E-10
0.006299999999999988      3.4237590196506675E-10   3.4319428901251185E-10   3.446006130476531E-10
0.006333333333333322      3.4040064206835844E-10   3.41206002331378E-10     3.425894668903955E-10
0.006366666666666654      3.384459100237592E-10    3.3923851451723316E-10   3.4059960775792836E-10
0.006399999999999987      3.3651170565561426E-10   3.372918253585949E-10    3.386310353674511E-10
0.006433333333333321      3.3459767708655234E-10   3.3536557621060053E-10   3.3668337855486913E-10
0.0064666666666666536     3.3270323366440744E-10   3.3345916245759536E-10   3.347560066979647E-10
0.006499999999999987      3.308283752197949E-10    3.31572583897205E-10     3.328489195291361E-10
0.006533333333333321      3.289727754337511E-10    3.297055081589308E-10    3.3096177352525475E-10
0.006566666666666653      3.271358741940551E-10    3.2785736233300385E-10   3.2909397203404023E-10
0.006599999999999986      3.2531767133881424E-10   3.260281462272256E-10    3.272455148037427E-10
0.00663333333333332       3.23517858170471E-10     3.2421754559144325E-10   3.25416077381558E-10
0.006666666666666652      3.217359137459437E-10    3.224250279491287E-10    3.2360510597132665E-10
0.0066999999999999855     3.199718379103991E-10    3.2065059311757333E-10   3.2181260033588496E-10
0.0067333333333333195     3.182253348648948E-10    3.188939400992093E-10    3.200382499533645E-10
0.006766666666666652      3.1649591964990533E-10   3.171545735499465E-10    3.182815403514658E-10
0.006799999999999985      3.1478359211674747E-10   3.154324932953886E-10    3.165424713058432E-10
0.006833333333333319      3.130880688831147E-10    3.137274110997397E-10    3.1482074571443855E-10
0.006866666666666651      3.114088943442012E-10    3.120388619241571E-10    3.1311588121947764E-10
0.006899999999999984      3.09746068358282E-10     3.1036684560324017E-10   3.114278776098044E-10
